Date;Monthly Inflation (%);Monthly Inflation
01/01/1998;-0.6;-0.006
01/02/1998;0.3;0.003
01/03/1998;0.3;0.003
01/04/1998;0.5;0.005
01/05/1998;0.5;0.005
01/06/1998;-0.1;-0.001
01/07/1998;-0.5;-0.005
01/08/1998;0.4;0.004
01/09/1998;0.4;0.004
01/10/1998;0;0
01/11/1998;0.1;0.001
01/12/1998;0.3;0.003
01/01/1999;-0.6;-0.006
01/02/1999;0.2;0.002
01/03/1999;0.5;0.005
01/04/1999;0.4;0.004
01/05/1999;0.3;0.003
01/06/1999;-0.1;-0.001
01/07/1999;-0.6;-0.006
01/08/1999;0.3;0.003
01/09/1999;0.4;0.004
01/10/1999;-0.1;-0.001
01/11/1999;0.1;0.001
01/12/1999;0.2;0.002
01/01/2000;-0.9;-0.009
01/02/2000;0.3;0.003
01/03/2000;0.2;0.002
01/04/2000;0.3;0.003
01/05/2000;0.3;0.003
01/06/2000;0.1;0.001
01/07/2000;-0.5;-0.005
01/08/2000;0;0
01/09/2000;0.8;0.008
01/10/2000;0;0
01/11/2000;0.2;0.002
01/12/2000;0;0
01/01/2001;-0.9;-0.009
01/02/2001;0.3;0.003
01/03/2001;0.3;0.003
01/04/2001;0.6;0.006
01/05/2001;0.8;0.008
01/06/2001;0.2;0.002
01/07/2001;-0.8;-0.008
01/08/2001;0.4;0.004
01/09/2001;0.3;0.003
01/10/2001;-0.2;-0.002
01/11/2001;-0.2;-0.002
01/12/2001;0.3;0.003
01/01/2002;-0.3;-0.003
01/02/2002;0.1;0.001
01/03/2002;0.4;0.004
01/04/2002;0.4;0.004
01/05/2002;0.2;0.002
01/06/2002;0;0
01/07/2002;-0.3;-0.003
01/08/2002;0.3;0.003
01/09/2002;0.3;0.003
01/10/2002;0.2;0.002
01/11/2002;0;0
01/12/2002;0.4;0.004
01/01/2003;-0.6;-0.006
01/02/2003;0.4;0.004
01/03/2003;0.4;0.004
01/04/2003;0.3;0.003
01/05/2003;0;0
01/06/2003;-0.2;-0.002
01/07/2003;-0.1;-0.001
01/08/2003;0.4;0.004
01/09/2003;0.3;0.003
01/10/2003;0.1;0.001
01/11/2003;0;0
01/12/2003;0.3;0.003
01/01/2004;-0.5;-0.005
01/02/2004;0.2;0.002
01/03/2004;0.2;0.002
01/04/2004;0.4;0.004
01/05/2004;0.4;0.004
01/06/2004;0;0
01/07/2004;-0.3;-0.003
01/08/2004;0.3;0.003
01/09/2004;0.1;0.001
01/10/2004;0.3;0.003
01/11/2004;0.2;0.002
01/12/2004;0.5;0.005
01/01/2005;-0.5;-0.005
01/02/2005;0.3;0.003
01/03/2005;0.4;0.004
01/04/2005;0.4;0.004
01/05/2005;0.3;0.003
01/06/2005;0;0
01/07/2005;0.1;0.001
01/08/2005;0.3;0.003
01/09/2005;0.1;0.001
01/10/2005;0.2;0.002
01/11/2005;0;0
01/12/2005;0.3;0.003
01/01/2006;-0.5;-0.005
01/02/2006;0.3;0.003
01/03/2006;0.2;0.002
01/04/2006;0.6;0.006
01/05/2006;0.5;0.005
01/06/2006;0.3;0.003
01/07/2006;-0.1;-0.001
01/08/2006;0.4;0.004
01/09/2006;0.1;0.001
01/10/2006;0.2;0.002
01/11/2006;0.3;0.003
01/12/2006;0.6;0.006
01/01/2007;-0.8;-0.008
01/02/2007;0.4;0.004
01/03/2007;0.5;0.005
01/04/2007;0.3;0.003
01/05/2007;0.3;0.003
01/06/2007;0.2;0.002
01/07/2007;-0.6;-0.006
01/08/2007;0.4;0.004
01/09/2007;0.1;0.001
01/10/2007;0.5;0.005
01/11/2007;0.3;0.003
01/12/2007;0.6;0.006
01/01/2008;-0.7;-0.007
01/02/2008;0.7;0.007
01/03/2008;0.4;0.004
01/04/2008;0.8;0.008
01/05/2008;0.6;0.006
01/06/2008;0.7;0.007
01/07/2008;0;0
01/08/2008;0.6;0.006
01/09/2008;0.5;0.005
01/10/2008;-0.2;-0.002
01/11/2008;-0.1;-0.001
01/12/2008;-0.4;-0.004
01/01/2009;-0.7;-0.007
01/02/2009;0.9;0.009
01/03/2009;0.2;0.002
01/04/2009;0.2;0.002
01/05/2009;0.6;0.006
01/06/2009;0.3;0.003
01/07/2009;0;0
01/08/2009;0.4;0.004
01/09/2009;0;0
01/10/2009;0.2;0.002
01/11/2009;0.3;0.003
01/12/2009;0.6;0.006
01/01/2010;-0.2;-0.002
01/02/2010;0.4;0.004
01/03/2010;0.6;0.006
01/04/2010;0.6;0.006
01/05/2010;0.2;0.002
01/06/2010;0.1;0.001
01/07/2010;-0.2;-0.002
01/08/2010;0.5;0.005
01/09/2010;0;0
01/10/2010;0.3;0.003
01/11/2010;0.4;0.004
01/12/2010;1;0.01
01/01/2011;0.1;0.001
01/02/2011;0.7;0.007
01/03/2011;0.3;0.003
01/04/2011;1;0.01
01/05/2011;0.2;0.002
01/06/2011;-0.1;-0.001
01/07/2011;0;0
01/08/2011;0.6;0.006
01/09/2011;0.6;0.006
01/10/2011;0.1;0.001
01/11/2011;0.2;0.002
01/12/2011;0.4;0.004
01/01/2012;-0.5;-0.005
01/02/2012;0.6;0.006
01/03/2012;0.3;0.003
01/04/2012;0.6;0.006
01/05/2012;-0.1;-0.001
01/06/2012;-0.4;-0.004
01/07/2012;0.1;0.001
01/08/2012;0.5;0.005
01/09/2012;0.4;0.004
01/10/2012;0.5;0.005
01/11/2012;0.2;0.002
01/12/2012;0.5;0.005
01/01/2013;-0.5;-0.005
01/02/2013;0.7;0.007
01/03/2013;0.3;0.003
01/04/2013;0.2;0.002
01/05/2013;0.2;0.002
01/06/2013;-0.2;-0.002
01/07/2013;0;0
01/08/2013;0.4;0.004
01/09/2013;0.4;0.004
01/10/2013;0.1;0.001
01/11/2013;0.1;0.001
01/12/2013;0.4;0.004
01/01/2014;-0.6;-0.006
01/02/2014;0.5;0.005
01/03/2014;0.2;0.002
01/04/2014;0.4;0.004
01/05/2014;-0.1;-0.001
01/06/2014;0.2;0.002
01/07/2014;-0.3;-0.003
01/08/2014;0.4;0.004
01/09/2014;0;0
01/10/2014;0.1;0.001
01/11/2014;-0.3;-0.003
01/12/2014;0;0
01/01/2015;-0.9;-0.009
01/02/2015;0.3;0.003
01/03/2015;0.2;0.002
01/04/2015;0.2;0.002
01/05/2015;0.2;0.002
01/06/2015;0;0
01/07/2015;-0.2;-0.002
01/08/2015;0.2;0.002
01/09/2015;-0.1;-0.001
01/10/2015;0.1;0.001
01/11/2015;0;0
01/12/2015;0.1;0.001
01/01/2016;-0.8;-0.008
01/02/2016;0.2;0.002
01/03/2016;0.4;0.004
01/04/2016;0.1;0.001
01/05/2016;0.2;0.002
01/06/2016;0.2;0.002
01/07/2016;-0.1;-0.001
01/08/2016;0.3;0.003
01/09/2016;0.2;0.002
01/10/2016;0.1;0.001
01/11/2016;0.2;0.002
01/12/2016;0.5;0.005
01/01/2017;-0.5;-0.005
01/02/2017;0.7;0.007
01/03/2017;0.4;0.004
01/04/2017;0.5;0.005
01/05/2017;0.3;0.003
01/06/2017;0;0
01/07/2017;-0.1;-0.001
01/08/2017;0.6;0.006
01/09/2017;0.3;0.003
01/10/2017;0.1;0.001
01/11/2017;0.3;0.003
01/12/2017;0.4;0.004
01/01/2018;-0.5;-0.005
01/02/2018;0.4;0.004
01/03/2018;0.1;0.001
01/04/2018;0.4;0.004
01/05/2018;0.4;0.004
01/06/2018;0;0
01/07/2018;0;0
01/08/2018;0.7;0.007
01/09/2018;0.1;0.001
01/10/2018;0.1;0.001
01/11/2018;0.2;0.002
01/12/2018;0.2;0.002
01/01/2019;-0.8;-0.008
01/02/2019;0.5;0.005
01/03/2019;0.2;0.002
01/04/2019;0.6;0.006
01/05/2019;0.3;0.003
01/06/2019;0;0
01/07/2019;0;0
01/08/2019;0.4;0.004
01/09/2019;0.1;0.001
01/10/2019;-0.2;-0.002
01/11/2019;0.2;0.002
01/12/2019;0;0
01/01/2020;-0.3;-0.003
01/02/2020;0.4;0.004
01/03/2020;0;0
01/04/2020;-0.2;-0.002
01/05/2020;0;0
01/06/2020;0.1;0.001
01/07/2020;0.4;0.004
01/08/2020;-0.4;-0.004
01/09/2020;0.4;0.004
01/10/2020;0;0
01/11/2020;-0.1;-0.001
01/12/2020;0.3;0.003
01/01/2021;-0.2;-0.002
01/02/2021;0.1;0.001
01/03/2021;0.3;0.003
01/04/2021;0.6;0.006
01/05/2021;0.6;0.006
01/06/2021;0.5;0.005
01/07/2021;0;0
01/08/2021;0.7;0.007
01/09/2021;0.3;0.003
01/10/2021;1.1;0.011
01/11/2021;0.7;0.007
01/12/2021;0.5;0.005
01/01/2022;-0.1;-0.001
01/02/2022;0.8;0.008
01/03/2022;1.1;0.011
01/04/2022;2.5;0.025
01/05/2022;0.7;0.007
01/06/2022;0.8;0.008
01/07/2022;0.6;0.006
01/08/2022;0.5;0.005
01/09/2022;0.5;0.005
01/10/2022;2;0.02
01/11/2022;0.4;0.004
01/12/2022;0.4;0.004
01/01/2023;-0.6;-0.006
01/02/2023;1.1;0.011
01/03/2023;0.8;0.008
01/04/2023;1.2;0.012
01/05/2023;0.7;0.007
01/06/2023;0.1;0.001
01/07/2023;-0.4;-0.004
01/08/2023;0.3;0.003
01/09/2023;0.5;0.005
01/10/2023;0;0
01/11/2023;-0.2;-0.002
01/12/2023;0.4;0.004
01/01/2024;-0.6;-0.006
01/02/2024;0.6;0.006
01/03/2024;0.6;0.006
01/04/2024;0.3;0.003
01/05/2024;0.3;0.003
01/06/2024;0.1;0.001
01/07/2024;-0.2;-0.002
01/08/2024;0.3;0.003
01/09/2024;0;0
01/10/2024;0.6;0.006
01/11/2024;0.1;0.001
01/12/2024;0.3;0.003
01/01/2025;-0.1;-0.001
